Id,en_us,ko_kr,memo
test,test,test,
population_allocation_assign_all,[TBD] Assign All,[미정] 모두 배치,
population_allocation_unassign_all,[TBD] Unassign All,[미정] 모두 회수,
building_window_assign_one,[TBD] +1 Assign,[미정] +1 배치,
building_window_unassign_one,[TBD] -1 Unassign,[미정] -1 회수,
building_window_close,[TBD] Close,[미정] 닫기,
building_window_population_label,[TBD] Population,[미정] 인구,
building_window_available_population_label,[TBD] Available,[미정] 가용 인구,
building_window_operation_label,[TBD] Operation,[미정] 가동,
building_window_operation_on_format,[TBD] Active ({0}%),[미정] 가동 중 ({0}%),
building_window_operation_off,[TBD] Halted,[미정] 정지,
building_window_research_label,[TBD] Research Points,[미정] 연구 포인트,
building_window_night_locked,[TBD] Population is locked at night,[미정] 밤에는 인구를 변경할 수 없습니다,
tower_sample,[TBD] Basic Tower,[미정] 기본 타워,
LoggingCamp,[TBD] Logging Camp,[미정] 벌목장,
Quarry,[TBD] Quarry,[미정] 채석장,
FarmField,[TBD] Farm Field,[미정] 농장,
SlimeFarm,[TBD] Slime Farm,[미정] 슬라임 농장,
research_lab_name,[TBD] Research Lab,[미정] 연구소,
research_node_grass_cultivation_name,[TBD] Grassland Cultivation,[미정] 초원 경작,
research_node_grass_cultivation_description,"[TBD] Grassland Food, Wood, and Stone production +10%.",[미정] 농장·광산 생산량 +10%,
research_node_tower_damage,[TBD] Tower Damage Increase,,
research_node_tower_damage_description,[TBD] All tower damage +10%.,[미정] 전 타워 공격력 +10%,
research_rp_amount,Research Points: {0},연구 포인트: {0},
research_population_amount,Research Population: {0}/{1},연구 인구: {0}/{1},
research_rp_cost,RP {0},RP {0},
research_resource_cost,{0} {1},{0} {1},
research_unknown_resource,[TBD] Resource,[미정] 자원,
research_branch_empty,[TBD] Coming Soon,,
research_state_completed,Completed,완료,
research_state_day_only,Research is available during the day only,낮에만 가능,
research_state_tier_locked,Tier Locked,티어 잠김,
research_state_prerequisite_locked,Prerequisite Required,선행 필요,
research_state_prerequisite_locked_with_names,Prerequisite Required: {0},선행 필요: {0},
research_state_insufficient_rp,Insufficient RP,RP 부족,
research_state_insufficient_resources,Insufficient Resources,자원 부족,
research_state_available,Available,연구 가능,
research_state_invalid,Unavailable,이용 불가,
resource_name_food,Food,식량,
resource_name_wood,Wood,통나무,
resource_name_stone,Stone,돌,
resource_name_grass_slime,[TBD] Grass Slime,초원 슬라임,
resource_name_rock_slime,[TBD] Rock Slime,암석 슬라임,
resource_name_volcano_slime,[TBD] Volcano Slime,용암 슬라임,
resource_name_desert_slime,[TBD] Desert Slime,사막 슬라임,
resource_name_snow_slime,[TBD] Snow Slime,설원 슬라임,
dragon_gate_kin_owned_ice,Requires an Ice baby dragon,얼음 새끼용을 보유해야 합니다,
dragon_gate_kin_owned_fire,Requires a Fire baby dragon,불 새끼용을 보유해야 합니다,
dragon_gate_kin_owned_time,Requires a Time baby dragon,시간 새끼용을 보유해야 합니다,
dragon_gate_kin_owned_stone,Requires a Stone baby dragon,암석 새끼용을 보유해야 합니다,
dragon_gate_kin_owned_life,Requires a Life baby dragon,생명 새끼용을 보유해야 합니다,
dragon_rank_badge,Lv {0}/{1},Lv {0}/{1},용 스킬트리 슬롯 랭크 뱃지
dragon_gate_kin_rank_deep,Requires 2 unlocked baby dragon nodes of this attribute,이 속성의 새끼용 노드를 2개 해금해야 합니다,용 스킬트리 게이트 / 해금 조건 안내
dragon_gate_kin_rank_ultimate,"Requires all 4 baby dragon nodes of this attribute, or both the active and passive branches completed","이 속성의 새끼용 노드 4개를 모두 해금하거나, 액티브·패시브 두 갈래를 모두 완주해야 합니다",용 스킬트리 게이트 / 해금 조건 안내
dragon_node_ice_unlock_name,Frost Awakening,서릿바람 각성,용 스킬트리 노드
dragon_node_ice_unlock_desc,"Unlocks the active skill [Deep Freeze]. While Ice is the active mother dragon, every tower's basic attack slows enemies by 50% for 3s.","액티브 [전역 빙결]을 해금합니다. 얼음 어미용이 활성일 때, 모든 타워의 기본공격이 적의 이동속도를 3초간 50% 낮춥니다.",용 스킬트리 노드
dragon_node_ice_active1_name,Frost Cycle,서리 순환,용 스킬트리 노드
dragon_node_ice_active1_desc,Reduces [Deep Freeze] cooldown by 12% per rank (up to 24%: 60s to 45.6s).,"[전역 빙결]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%, 60초 → 45.6초).",용 스킬트리 노드
dragon_node_ice_active2_name,Absolute Zero,절대 영도,용 스킬트리 노드
dragon_node_ice_active2_desc,Extends the freeze applied by [Deep Freeze] from 3s to 5s.,[전역 빙결]이 부여하는 빙결 지속시간이 3초에서 5초로 늘어납니다.,용 스킬트리 노드
dragon_node_ice_passive1_name,Snowfield Harvest,설원 채집,용 스킬트리 노드
dragon_node_ice_passive1_desc,"While Ice is active, Snow Slime and Snow Crystal output increases by 12% per rank (up to 24%).","얼음 어미용이 활성일 때, 설원 슬라임·눈의 결정 생산량이 랭크당 12% 증가합니다(최대 24%).",용 스킬트리 노드
dragon_node_ice_passive2_name,Cryo Attunement,냉기 조율,용 스킬트리 노드
