"Id","en_us","ko_kr"
"dragon_window_header","Dragons","용"
"dragon_upgrade_button","Upgrade!","강화!"
"dragon_rank_badge","Lv {0}/{1}","Lv {0}/{1}"
"dragon_resource_cost","{0} {1}","{0} {1}"
"dragon_unknown_resource","Resource","자원"
"dragon_state_invalid","Unavailable","이용 불가"
"dragon_state_completed","Unlocked","해금 완료"
"dragon_state_unavailable_phase","Can only be upgraded during the day","낮에만 강화할 수 있습니다"
"dragon_state_prerequisite_locked","Requires the previous node","선행 노드가 필요합니다"
"dragon_state_gate_locked","Requirements not met","조건 미달"
"dragon_state_insufficient_resources","Not enough resources","자원이 부족합니다"
"dragon_state_available","Ready to unlock","해금 가능"
"dragon_attribute_ice","Ice","얼음"
"dragon_attribute_fire","Fire","불"
"dragon_attribute_time","Time","시간"
"dragon_attribute_stone","Stone","암석"
"dragon_attribute_life","Life","생명"
"dragon_gate_kin_owned_ice","Requires an Ice baby dragon","얼음 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_fire","Requires a Fire baby dragon","불 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_time","Requires a Time baby dragon","시간 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_stone","Requires a Stone baby dragon","암석 새끼용을 보유해야 합니다"
"dragon_gate_kin_owned_life","Requires a Life baby dragon","생명 새끼용을 보유해야 합니다"
"dragon_gate_kin_rank_deep","Requires 2 unlocked baby dragon nodes of this attribute","이 속성의 새끼용 노드를 2개 해금해야 합니다"
"dragon_gate_kin_rank_ultimate","Requires all 4 baby dragon nodes of this attribute, or both the active and passive branches completed","이 속성의 새끼용 노드 4개를 모두 해금하거나, 액티브·패시브 두 갈래를 모두 완주해야 합니다"
"dragon_skill_freeze_all_name","Deep Freeze","전역 빙결"
"dragon_skill_freeze_all_desc","Freezes every enemy on the field in place for 3s. Cooldown 60s, unlimited uses per day.","필드에 있는 모든 적을 3초간 얼려 멈춥니다. 쿨다운 60초, 1일 사용 횟수 제한 없음."
"dragon_skill_global_damage_name","Burn Surge","전역 화염"
"dragon_skill_global_damage_desc","Deals 30% of current HP to every enemy on the field and reapplies burn. Cooldown 60s, unlimited uses per day.","필드에 있는 모든 적에게 현재 체력의 30%만큼 피해를 주고 화상을 다시 부여합니다. 쿨다운 60초, 1일 사용 횟수 제한 없음."
"dragon_skill_repair_towers_name","Instant Reactivation","즉시 재활성화"
"dragon_skill_repair_towers_desc","Instantly restores every disabled tower without waiting out its downtime. Cooldown 60s, unlimited uses per day.","비활성화된 모든 타워를 대기시간 없이 즉시 복구합니다. 쿨다운 60초, 1일 사용 횟수 제한 없음."
"dragon_skill_meteor_name","Meteor Barricade","메테오 방벽"
"dragon_skill_meteor_desc","Deals 40 damage within radius 1.5 of the target point and raises a 50 HP barricade on the monster path. The barricade is removed when the night ends. Cooldown 60s, 2 uses per day.","지정한 지점 반경 1.5 안의 적에게 40의 피해를 주고, 몬스터 경로에 체력 50의 방벽을 세웁니다. 방벽은 밤이 끝나면 사라집니다. 쿨다운 60초, 1일 2회."
"dragon_skill_castle_heal_name","Castle Mend","성벽 재생"
"dragon_skill_castle_heal_desc","Restores 50 HP to the main castle. Cooldown 60s, unlimited uses per day.","메인 성의 체력을 50 회복합니다. 쿨다운 60초, 1일 사용 횟수 제한 없음."
"dragon_node_ice_unlock_name","Frost Awakening","서릿바람 각성"
"dragon_node_ice_unlock_desc","Unlocks the active skill [Deep Freeze]. While Ice is the active mother dragon, every tower's basic attack slows enemies by 50% for 3s.","액티브 [전역 빙결]을 해금합니다. 얼음 어미용이 활성일 때, 모든 타워의 기본공격이 적의 이동속도를 3초간 50% 낮춥니다."
"dragon_node_ice_active1_name","Frost Cycle","서리 순환"
"dragon_node_ice_active1_desc","Reduces [Deep Freeze] cooldown by 12% per rank (up to 24%: 60s to 45.6s).","[전역 빙결]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%, 60초 → 45.6초)."
"dragon_node_ice_active2_name","Absolute Zero","절대 영도"
"dragon_node_ice_active2_desc","Extends the freeze applied by [Deep Freeze] from 3s to 5s.","[전역 빙결]이 부여하는 빙결 지속시간이 3초에서 5초로 늘어납니다."
"dragon_node_ice_passive1_name","Snowfield Harvest","설원 채집"
"dragon_node_ice_passive1_desc","While Ice is active, Snow Slime and Snow Crystal output increases by 12% per rank (up to 24%).","얼음 어미용이 활성일 때, 설원 슬라임·눈의 결정 생산량이 랭크당 12% 증가합니다(최대 24%)."
"dragon_node_ice_passive2_name","Cryo Attunement","냉기 조율"
"dragon_node_ice_passive2_desc","While Ice is active, Ice-element towers gain 10% attack speed per rank (up to 20%). Towers of other elements are unaffected.","얼음 어미용이 활성일 때, 얼음 속성 타워의 공격속도가 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다."
"dragon_node_ice_ultimate_name","Eternal Winter","영원한 겨울"
"dragon_node_ice_ultimate_desc","The tower-attack slow keeps working even while Ice is not the active mother dragon, and [Deep Freeze] cooldown is reduced by a further 20%.","얼음 어미용이 활성이 아닐 때도 타워 공격의 둔화 부여가 계속 작동하고, [전역 빙결]의 쿨다운이 20% 추가로 줄어듭니다."
"dragon_node_ice_kin_tower_name","Frostfang","서릿니"
"dragon_node_ice_kin_tower_desc","The Ice baby dragon's attacks apply slow (rank 1), and its own damage increases by 12% (rank 2). Applies at all times, regardless of which mother dragon is active.","얼음 새끼용의 공격에 둔화가 붙고(랭크 1), 자신의 공격력이 12% 증가합니다(랭크 2). 어미용 활성 여부와 무관하게 항상 적용됩니다."
"dragon_node_ice_kin_area_name","Lava Freeze","용암 결빙"
"dragon_node_ice_kin_area_desc","Widens the Ice baby dragon's buff radius by 20% per rank (3 to 4.2). Buildings can be placed on volcanic terrain inside that radius.","얼음 새끼용의 버프 반경이 랭크당 20% 넓어집니다(3 → 4.2). 이 반경 안에서는 화산 지대에도 건물을 지을 수 있습니다."
"dragon_node_fire_unlock_name","Flame Awakening","불꽃 각성"
"dragon_node_fire_unlock_desc","Unlocks the active skill [Burn Surge]. While Fire is the active mother dragon, every newly spawned enemy burns for 2 damage per second until it dies.","액티브 [전역 화염]을 해금합니다. 불 어미용이 활성일 때, 새로 등장하는 모든 적이 죽을 때까지 초당 2의 화상 피해를 받습니다."
"dragon_node_fire_active1_name","Raging Flame","맹렬한 화염"
"dragon_node_fire_active1_desc","Increases [Burn Surge] damage by 20% per rank (30% of current HP, up to 42%).","[전역 화염]의 피해가 랭크당 20% 강해집니다(현재 체력의 30% → 최대 42%)."
"dragon_node_fire_active2_name","Chain Eruption","연쇄 분화"
"dragon_node_fire_active2_desc","Reduces [Burn Surge] cooldown by 12% per rank (up to 24%: 60s to 45.6s).","[전역 화염]의 쿨다운이 랭크당 12% 줄어듭니다(최대 24%, 60초 → 45.6초)."
"dragon_node_fire_passive1_name","Volcanic Harvest","화산 채집"
"dragon_node_fire_passive1_desc","While Fire is active, Volcano Slime and Flame Heart output increases by 12% per rank (up to 24%).","불 어미용이 활성일 때, 용암 슬라임·불꽃의 심장 생산량이 랭크당 12% 증가합니다(최대 24%)."
"dragon_node_fire_passive2_name","Pyro Attunement","화력 조율"
"dragon_node_fire_passive2_desc","While Fire is active, Fire-element towers gain 10% damage per rank (up to 20%). Towers of other elements are unaffected.","불 어미용이 활성일 때, 불 속성 타워의 공격력이 랭크당 10% 증가합니다(최대 20%). 다른 속성 타워는 영향받지 않습니다."
"dragon_node_fire_ultimate_name","Great Conflagration","대화재"
"dragon_node_fire_ultimate_desc","Enemies keep burning on spawn even while Fire is not the active mother dragon, and [Burn Surge] deals 30% more damage with 20% less cooldown.","불 어미용이 활성이 아닐 때도 적이 등장할 때 화상이 계속 부여되고, [전역 화염]의 피해가 30% 강해지며 쿨다운이 20% 줄어듭니다."
"dragon_node_fire_kin_tower_name","Emberfang","불꽃니"
"dragon_node_fire_kin_tower_desc","The burn applied by the Fire baby dragon deals 2 damage per second (rank 1), rising to 4 (rank 2). Applies at all times, regardless of which mother dragon is active.","불 새끼용이 부여하는 화상이 초당 2의 피해를 주고(랭크 1), 초당 4로 강해집니다(랭크 2). 어미용 활성 여부와 무관하게 항상 적용됩니다."
"dragon_node_fire_kin_area_name","Long Reach Flame","장거리 화염"
"dragon_node_fire_kin_area_desc","Increases the Fire baby dragon's own attack range by 12% per rank (up to 24%). Applies at all times, regardless of which mother dragon is active.","불 새끼용 자신의 공격 사거리가 랭크당 12% 증가합니다(최대 24%). 어미용 활성 여부와 무관하게 항상 적용됩니다."
"dragon_node_time_unlock_name","Time Awakening","시간 각성"
"dragon_node_time_unlock_desc","Unlocks the active skill [Instant Reactivation]. While Time is the active mother dragon, every tower gains 15% attack speed.","액티브 [즉시 재활성화]를 해금합니다. 시간 어미용이 활성일 때, 모든 타워의 공격속도가 15% 증가합니다."
"dragon_node_time_active1_name","Time Compression","시간 압축"
